hour(h),DNI(W/m2),Tamb(°C),mdotDemand(kg/s),Tdemand(°C),mdotSF(kg/s),TSF(°C),mdotAux(kg/s),qBoiler(MWh),qAbs(W/m2),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s),mdotSFToBoiler(kg/s),mdotSFToSt(kg/s) 
0,0,10.03,0,350,0,50,0,0,0,149.85,226.85,0,0,0
1,0,10.1,0,350,0,50,0,0,0,149.85,224.816,-0,0,0
2,0,10.18,0,350,0,50,0,0,0,149.85,222.802,-0,0,0
3,0,10.26,0,350,0,50,0,0,0,149.85,220.807,-0,0,0
4,0,10.34,45,350,0,50,3.37517,7.76689,0,0.000599399,218.832,41.6248,0,0
5,0,10.41,45,350,0,50,45,16.2,0,0.000599399,10.498,-0,0,0
6,0,10.49,50,350,0,50,50,18,0,0.000599399,10.49,-0,0,0
7,0,10.57,70,350,0,50,70,25.2,0,0.000599399,10.57,-0,0,0
8,143,11.85,70,350,62.4319,92.8571,7.56815,21.9892,76.2085,0.000599399,11.8495,-0,62.4319,0
9,164.63,12.63,100,350,71.4126,92.8571,28.5874,32.3273,72.9627,0.000599399,12.6297,1.42109e-14,71.4126,0
10,59.57,13.41,100,350,9.17493,92.8571,90.8251,35.5281,20.8198,0.000599399,13.4097,-0,9.17493,0
11,52.83,14.19,100,350,1.60196,92.8571,98.398,35.9176,14.4399,0.000599399,14.1897,0,1.60196,2.84217e-14
12,50.8,14.55,90,350,0,50,90,32.4,12.3371,0.000599399,14.5499,0,-1.42109e-14,1.42109e-14
13,87.45,14.92,80,350,0.125608,92.8571,79.8744,28.7935,23.9025,0.000599399,14.9199,-0,0.125608,0
14,381.42,15.29,47,350,143.636,92.8571,0,14.5029,133.307,347.892,92.5418,0,47,96.6364
15,0,14.32,53,350,0,50,0,16.3946,0,157.092,92.2239,53,0,0
16,58.54,13.34,79,350,8.74965,92.8571,26.6141,25.816,31.1975,0.00110438,91.5174,43.6363,8.74965,0
17,0,12.37,50,350,0,50,50,18,0,0.00110438,12.4315,2.13163e-14,0,0
18,0,11.57,20,350,0,50,20,7.2,0,0.00110438,11.5707,0,-3.55271e-15,3.55271e-15
19,0,10.78,0,350,0,50,0,0,0,0.00110438,10.7806,-0,0,0
20,0,9.98,0,350,0,50,0,0,0,0.00110438,9.98063,-0,0,0
21,0,9.83001,0,350,0,50,0,0,0,0.00110438,9.83013,-0,0,0
22,0,9.69,0,350,0,50,0,0,0,0.00110438,9.69011,-0,0,0
23,0,9.54,0,350,0,50,0,0,0,0.00110438,9.54012,-0,0,0
24,0,8.85,0,350,0,50,0,0,0,0.00110438,9.54012,0,0,0
25,0,8.14999,0,350,0,50,0,0,0,0.00110438,8.15107,-0,0,0
26,0,7.45999,0,350,0,50,0,0,0,0.00110438,7.46052,-0,0,0
27,0,7.69,0,350,0,50,0,0,0,0.00110438,7.68982,-0,0,0
28,0,7.92999,45,350,0,50,44.9997,16.2,0,4.41759e-09,7.9298,0.000306771,0,0
29,0,8.16,45,350,0,50,45,16.2,0,4.41759e-09,8.16,-0,0,0
30,0,8.92999,50,350,0,50,50,18,0,4.41756e-09,8.92999,7.10543e-15,0,0
31,0,9.69,70,350,0,50,70,25.2,0,4.41756e-09,9.69,-0,0,0
32,95.61,10.46,70,350,32.0157,92.8571,37.9843,23.5535,50.9547,4.41756e-09,10.46,-0,32.0157,0
33,131.66,11.11,100,350,53.7721,92.8571,46.2279,33.2346,58.3534,4.41746e-09,11.11,2.84217e-14,53.7721,0
34,81.14,11.76,100,350,18.0328,92.8571,81.9672,35.0726,28.3607,4.41746e-09,11.76,-0,18.0328,0
35,28.57,12.42,100,350,0,50,100,36,7.80988,4.41746e-09,12.42,-0,0,0
36,271.62,13.36,90,350,50.3015,92.8571,39.6985,29.8131,65.9739,4.41746e-09,13.36,-0,50.3015,0
37,906.97,14.3,80,350,80.113,178.571,0,16.4571,247.929,0.406847,50.8914,0,80,0.113013
38,868.62,15.24,47,350,77.5714,221.429,0,7.25143,303.607,110.464,218.192,0,47,30.5714
39,727.71,13.66,53,350,86.399,221.429,0,8.17714,322.531,230.7,218.618,0,53,33.399
40,675.9,12.09,79,350,216.749,135.714,0,20.3143,360.216,726.596,161.744,0,79,137.749
41,0,10.51,50,350,0,50,0,11.313,0,546.596,161.449,50,0,0
42,0,9.85,20,350,0,50,0,4.53464,0,474.596,161.057,20,0,0
43,0,9.17999,0,350,0,50,0,0,0,474.596,160.604,-0,0,0
44,0,8.52001,0,350,0,50,0,0,0,474.596,160.15,-0,0,0
45,0,8.30001,0,350,0,50,0,0,0,474.596,159.697,-0,0,0
46,0,8.08999,0,350,0,50,0,0,0,474.596,159.245,-0,0,0
47,0,7.86999,0,350,0,50,0,0,0,474.596,158.794,-0,0,0
48,0,6.99999,0,350,0,50,0,0,0,474.596,158.794,0,0,0
49,0,6.14001,0,350,0,50,0,0,0,474.596,158.339,-0,0,0
50,0,5.27001,0,350,0,50,0,0,0,474.596,157.882,-0,0,0
51,0,5.08999,0,350,0,50,0,0,0,474.596,157.426,-0,0,0
52,0,4.92001,45,350,0,50,0,10.4235,0,312.596,156.972,45,0,0
53,0,4.74001,45,350,0,50,0,10.4607,0,150.596,156.283,45,0,0
54,0,5.45999,50,350,0,50,8.16847,12.7355,0,0.00236157,154.875,41.8315,0,0
55,0,6.17999,70,350,0,50,70,25.2,0,0.00236157,6.42693,-0,0,0
56,383.06,6.89999,70,350,97.8116,135.714,0,18,204.176,100.124,133.91,0,70,27.8116
57,715.41,8.89999,100,350,111.832,178.571,0,20.5714,317.143,142.718,145.877,0,100,11.8317
58,788.62,10.9,100,350,159.863,135.714,0,25.7143,275.733,358.224,139.254,0,100,59.8628
59,736.81,12.9,100,350,65.8828,178.571,0,22.2015,201.512,235.402,138.756,34.1172,65.8828,0
60,323.47,13.36,90,350,42.2154,135.714,0,23.0116,78.6144,63.3777,138.004,47.7846,42.2154,0
61,858.33,13.83,80,350,79.1211,178.571,0,16.5028,234.747,60.2139,135.284,0.878852,79.1211,0
62,869.28,14.29,47,350,77.652,221.429,0,7.25143,303.935,170.561,189.558,0,47,30.652
63,870.31,13.51,53,350,105.278,221.429,0,8.17714,385.811,358.763,205.517,0,53,52.2783
64,569.92,12.72,79,350,183.042,135.714,0,20.3143,303.775,733.314,169.561,0,79,104.042
65,0,11.94,50,350,0,50,0,10.8446,0,553.314,169.256,50,0,0
66,0,10.92,20,350,0,50,0,4.34758,0,481.314,168.851,20,0,0
67,0,9.89999,0,350,0,50,0,0,0,481.314,168.383,-0,0,0
68,0,8.88,0,350,0,50,0,0,0,481.314,167.914,-0,0,0
69,0,7.92999,0,350,0,50,0,0,0,481.314,167.444,-0,0,0
70,0,6.97,0,350,0,50,0,0,0,481.314,166.972,-0,0,0
71,0,6.02001,0,350,0,50,0,0,0,481.314,166.499,-0,0,0
72,0,5.42001,0,350,0,50,0,0,0,481.314,166.499,0,0,0
73,0,4.82,0,350,0,50,0,0,0,481.314,166.023,-0,0,0
74,0,4.22,0,350,0,50,0,0,0,481.314,165.547,-0,0,0
75,0,4.24001,0,350,0,50,0,0,0,481.314,165.073,-0,0,0
76,0,4.27001,45,350,0,50,0,10.0116,0,319.314,164.6,45,0,0
77,0,4.29,45,350,0,50,0,10.0499,0,157.314,163.89,45,0,0
78,0,5.24999,50,350,0,50,6.30229,12.1023,0,0.00240188,162.472,43.6977,0,0
79,0,6.20999,70,350,0,50,70,25.2,0,0.00240188,6.47392,-0,0,0
80,71.85,7.17001,70,350,16.9901,92.8571,53.0099,24.3262,38.3059,0.00240188,7.16883,1.42109e-14,16.9901,0
81,468.17,9.47,100,350,106.352,135.714,0,25.7143,207.615,22.8687,128.323,0,100,6.35174
82,404.4,11.77,100,350,73.3163,135.714,20.3319,27.9138,141.474,0.00242474,121.51,6.35173,73.3163,0
83,844.52,14.07,100,350,126.929,135.714,0,25.7143,231.17,96.9477,133.958,0,100,26.9293
84,832.55,14.67,90,350,109.851,135.714,0,23.1429,202.55,168.413,133.7,0,90,19.8514
85,595.54,15.28,80,350,50.5997,178.571,0,18.0751,163.017,62.5716,132.71,29.4003,50.5997,0
86,510.08,15.89,47,350,61.0191,178.571,0,9.66857,178.445,113.04,151.483,0,47,14.0191
87,745.51,14.97,53,350,121.566,178.571,0,10.9029,330.605,359.878,169.453,0,53,68.566
88,573.32,14.04,79,350,177.817,135.714,0,20.3143,305.658,715.618,152.407,0,79,98.8168
89,0,13.12,50,350,0,50,0,11.8721,0,535.618,152.131,50,0,0
90,0,11.47,20,350,0,50,0,4.75778,0,463.618,151.759,20,0,0
91,0,9.82,0,350,0,50,0,0,0,463.618,151.326,-0,0,0
92,0,8.17001,0,350,0,50,0,0,0,463.618,150.889,-0,0,0
93,0,7.55999,0,350,0,50,0,0,0,463.618,150.451,-0,0,0
94,0,6.95999,0,350,0,50,0,0,0,463.618,150.013,-0,0,0
95,0,6.35,0,350,0,50,0,0,0,463.618,149.575,-0,0,0
96,0,6.13,0,350,0,50,0,0,0,463.618,149.575,0,0,0
97,0,5.91,0,350,0,50,0,0,0,463.618,149.136,-0,0,0
98,0,5.69,0,350,0,50,0,0,0,463.618,148.698,-0,0,0
99,0,5.79,0,350,0,50,0,0,0,463.618,148.262,-0,0,0
100,0,5.89999,45,350,0,50,0,10.9173,0,301.618,147.827,45,0,0
101,0,5.99999,45,350,0,50,0,10.9532,0,139.618,147.163,45,0,0
102,0,7.08001,50,350,0,50,11.2178,13.5438,0,0.0022957,145.753,38.7822,0,0
103,0,8.14999,70,350,0,50,70,25.2,0,0.0022957,8.37215,-0,0,0
104,155.55,9.23,70,350,70.3237,92.8571,0,21.6,82.9569,1.16777,46.8984,0,70,0.323743
105,151.7,11.39,100,350,8.16006,178.571,91.5162,34.7498,67.3074,0.00229687,27.416,0.323742,8.16006,0
106,5.38,13.56,100,350,6.40504,135.714,93.595,35.3412,1.88364,0.00229687,13.5824,-0,6.40504,0
107,26.19,15.73,100,350,12.8101,92.8571,87.1899,35.3412,7.17782,0.00229687,15.7265,-0,12.8101,0
108,56.27,15.9,90,350,0.800863,92.8571,89.1991,32.3588,13.7103,0.00229687,15.8997,-0,0.800863,0
109,75.95,16.08,80,350,9.3806,92.8571,70.6194,28.3176,20.8154,0.00229687,16.0797,-0,9.3806,0
110,282.97,16.25,47,350,102.938,92.8571,0,14.5029,99.0734,201.38,92.32,0,47,55.9382
111,0,15.4,53,350,0,50,0,16.4227,0,10.5797,91.7816,53,0,0
112,38.79,14.55,79,350,0,50,76.0619,28.3249,20.6872,0.00250882,82.6444,2.93812,0,0
113,0,13.7,50,350,0,50,50,18,0,0.00250882,13.8216,-0,0,0
114,0,13.44,20,350,0,50,20,7.2,0,0.00250882,13.4407,-0,0,0
115,0,13.18,0,350,0,50,0,0,0,0.00250882,13.1804,-0,0,0
116,0,12.92,0,350,0,50,0,0,0,0.00250882,12.9205,-0,0,0
117,0,13.06,0,350,0,50,0,0,0,0.00250882,13.0597,-0,0,0
118,0,13.21,0,350,0,50,0,0,0,0.00250882,13.2097,-0,0,0
119,0,13.35,0,350,0,50,0,0,0,0.00250882,13.3498,-0,0,0
120,0,13.27,0,350,0,50,0,0,0,0.00250882,13.3498,0,0,0
121,0,13.18,0,350,0,50,0,0,0,0.00250882,13.1803,-0,0,0
122,0,13.1,0,350,0,50,0,0,0,0.00250882,13.1001,-0,0,0
123,0,13.03,0,350,0,50,0,0,0,0.00250882,13.0301,-0,0,0
124,0,12.97,45,350,0,50,44.9993,16.2,0,1.00353e-08,12.9701,0.000696892,0,0
125,0,12.9,45,350,0,50,45,16.2,0,1.00353e-08,12.9,-0,0,0
126,0,13.18,50,350,0,50,50,18,0,1.00353e-08,13.18,-0,0,0
127,0,13.46,70,350,0,50,70,25.2,0,1.00353e-08,13.46,-0,0,0
128,59.7,13.74,70,350,9.71267,92.8571,60.2873,24.7005,31.8525,1.00354e-08,13.74,0,9.71267,2.84217e-14
129,135.02,14.72,100,350,56.1708,92.8571,43.8292,33.1112,59.9465,1.00354e-08,14.72,-0,56.1708,0
130,34.89,15.7,100,350,0,50,100,36,12.2285,1.00354e-08,15.7,-0,0,0
131,26.12,16.68,100,350,0,50,100,36,7.17012,1.00354e-08,16.68,-0,0,0
132,32.05,16.84,90,350,0,50,90,32.4,7.82425,1.00355e-08,16.84,0,-1.42109e-14,1.42109e-14
133,533.57,17.01,80,350,146.891,92.8571,0,24.6857,146.469,240.807,92.4126,0,80,66.8909
134,548.98,17.17,47,350,97.5485,135.714,0,12.0857,192.411,422.782,110.736,0,47,50.5485
135,202.78,16.23,53,350,104.999,92.8571,0,16.3543,90.0307,609.977,105.043,0,53,51.9985
136,398.81,15.3,79,350,109.627,135.714,0,20.3143,212.782,720.233,109.552,0,79,30.6267
137,0,14.36,50,350,0,50,0,14.4381,0,540.233,109.365,50,0,0
138,0,13.91,20,350,0,50,0,5.78124,0,468.233,109.115,20,0,0
139,0,13.45,0,350,0,50,0,0,0,468.233,108.826,-0,0,0
140,0,13,0,350,0,50,0,0,0,468.233,108.536,-0,0,0
141,0,12.98,0,350,0,50,0,0,0,468.233,108.247,-0,0,0
142,0,12.96,0,350,0,50,0,0,0,468.233,107.959,-0,0,0
143,0,12.94,0,350,0,50,0,0,0,468.233,107.672,-0,0,0
144,0,12.89,0,350,0,50,0,0,0,468.233,107.672,0,0,0
145,0,12.84,0,350,0,50,0,0,0,468.233,107.385,-0,0,0
146,0,12.79,0,350,0,50,0,0,0,468.233,107.099,-0,0,0
147,0,12.97,0,350,0,50,0,0,0,468.233,106.815,-0,0,0
148,0,13.15,45,350,0,50,0,13.1473,0,306.233,106.532,45,0,0
149,0,13.33,45,350,0,50,0,13.1705,0,144.233,106.102,45,0,0
150,0,13.57,50,350,0,50,9.93601,15.3462,0,0.00232339,105.2,40.064,0,0
151,0,13.82,70,350,0,50,70,25.2,0,0.00232339,13.9693,-0,0,0
152,23.8,14.06,70,350,0,50,70,25.2,12.7051,0.00232339,14.0598,-0,0,0
153,0,14.46,100,350,0,50,100,36,0,0.00232339,14.4593,0,-1.42109e-14,1.42109e-14
154,0,14.87,100,350,0,50,100,36,0,0.00232339,14.8693,0,-1.42109e-14,1.42109e-14
155,0,15.28,100,350,0,50,100,36,0,0.00232339,15.2793,0,-1.42109e-14,1.42109e-14
156,147.7,15,90,350,14.9098,92.8571,75.0902,31.6332,36.1435,0.00232339,15.0005,-0,14.9098,0
157,136.39,14.72,80,350,29.3639,92.8571,50.6361,27.2899,37.5137,0.00232339,14.7205,-0,29.3639,0
158,259.1,14.44,47,350,93.1748,92.8571,0,14.5029,90.9285,166.232,92.192,0,47,46.1748
159,521.26,14.01,53,350,120.846,135.714,0,13.6286,231.619,410.478,117.73,0,53,67.8462
160,10.77,13.57,79,350,12.8101,92.8571,0,22.43,5.74931,172.194,117.371,66.1899,12.8101,0
161,0,13.14,50,350,0,50,2.16912,14.182,0,0.00307229,116.519,47.8309,0,0
162,0,12.85,20,350,0,50,20,7.2,0,0.00307229,13.0739,-0,0,0
163,0,12.55,0,350,0,50,0,0,0,0.00307229,12.5511,-0,0,0
164,0,12.26,0,350,0,50,0,0,0,0.00307229,12.2606,-0,0,0
165,0,12.31,0,350,0,50,0,0,0,0.00307229,12.3099,-0,0,0
166,0,12.37,0,350,0,50,0,0,0,0.00307229,12.3699,-0,0,0
167,0,12.42,0,350,0,50,0,0,0,0.00307229,12.4199,-0,0,0
168,0,12.29,0,350,0,50,0,0,0,0.00307229,12.4199,0,0,0
169,0,12.17,0,350,0,50,0,0,0,0.00307229,12.1705,-0,0,0
170,0,12.04,0,350,0,50,0,0,0,0.00307229,12.0403,-0,0,0
171,0,11.96,0,350,0,50,0,0,0,0.00307229,11.9602,-0,0,0
172,0,11.89,45,350,0,50,44.9991,16.2,0,1.22891e-08,11.8902,0.000853409,0,0
173,0,11.81,45,350,0,50,45,16.2,0,1.22891e-08,11.81,-0,0,0
174,0,12.21,50,350,0,50,50,18,0,1.22891e-08,12.21,-0,0,0
175,0,12.62,70,350,0,50,70,25.2,0,1.22891e-08,12.62,-0,0,0
176,414.65,13.02,70,350,108.356,135.714,0,18,221.49,138.083,134.466,0,70,38.3564
177,638.91,14.44,100,350,158.647,135.714,0,25.7143,284.171,349.213,134.732,0,100,58.6473
178,651.29,15.87,100,350,125.703,135.714,0,25.7143,228.913,441.744,134.556,0,100,25.7032
179,17.3,17.3,100,350,12.8101,92.8571,0,26.5336,4.76942,127.861,134.18,87.1899,12.8101,0
180,900.84,17,90,350,114.661,135.714,0,23.1429,221.065,216.641,134.042,0,90,24.6611
181,585.67,16.7,80,350,85.4723,135.714,0,20.5714,161.463,236.341,133.48,0,80,5.47232
182,561.26,16.4,47,350,106.851,135.714,0,12.0857,197.27,451.803,134.175,0,47,59.8506
183,81.64,15.47,53,350,40.8433,92.8571,0,15.757,36.3114,408.039,133.804,12.1567,40.8433,0
184,0,14.55,79,350,0,50,0,20.5346,0,123.639,133.39,79,0,0
185,0,13.62,50,350,0,50,15.6564,14.6193,0,0.00249337,132.031,34.3436,0,0
186,0,13.14,20,350,0,50,20,7.2,0,0.00249337,13.3485,0,-3.55271e-15,3.55271e-15
187,0,12.66,0,350,0,50,0,0,0,0.00249337,12.6612,-0,0,0
188,0,12.18,0,350,0,50,0,0,0,0.00249337,12.1808,-0,0,0
189,0,12.14,0,350,0,50,0,0,0,0.00249337,12.1401,-0,0,0
190,0,12.11,0,350,0,50,0,0,0,0.00249337,12.1101,-0,0,0
191,0,12.07,0,350,0,50,0,0,0,0.00249337,12.0701,-0,0,0
192,0,11.55,0,350,0,50,0,0,0,0.00249337,12.0701,0,0,0
193,0,11.03,0,350,0,50,0,0,0,0.00249337,11.0318,-0,0,0
194,0,10.51,0,350,0,50,0,0,0,0.00249337,10.5109,-0,0,0
195,0,10.39,0,350,0,50,0,0,0,0.00249337,10.3902,-0,0,0
196,0,10.28,45,350,0,50,44.9993,16.2,0,9.97352e-09,10.2802,0.000692599,0,0
197,0,10.16,45,350,0,50,45,16.2,0,9.97352e-09,10.16,-0,0,0
198,0,10.58,50,350,0,50,50,18,0,9.97352e-09,10.58,-0,0,0
199,0,11,70,350,0,50,70,25.2,0,9.97352e-09,11,-0,0,0
