day(d),DNI(kWh/m2/day),Tamb(°C),mdotDemand(kg/s/day),Tdemand(°C),mdotSF(kg/s/day),TSF(°C),mdotAux(kg/s/day),qBoiler(MWh/day),qAbs(kWh/m2/day),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s/day),mdotSFToBoiler(kg/s/day),mdotSFToSt(kg/s/day) 
0,0.99824,11.6933,999,350,297.133,92.8571,660.242,336.036,0.385175,46.0166,163.745,138.261,200.497,96.6364
1,3.7878,10.1492,999,350,614.954,153.411,515.878,301.321,1.44574,185.931,164.874,70.0003,413.122,201.832
2,6.11521,8.94458,999,350,922.698,164.637,78.1685,235.756,2.30545,334.395,163.817,284.612,636.219,286.478
3,5.04594,9.14583,999,350,844.44,146.687,149.644,259.766,1.79884,302.44,155.959,239.45,609.906,234.534
4,0.7928,11.3167,999,350,210.819,97.4769,659.399,332.773,0.313612,104.536,143.856,185.044,154.557,56.2619
5,1.97192,14.2533,999,350,524.948,109.771,604.116,331.471,0.760714,222.643,107.73,70.0007,324.883,200.065
6,1.09902,13.4862,999,350,271.105,111.961,597.831,330.93,0.414659,128.014,108.272,244.085,157.084,114.021
7,3.85156,13.5692,999,350,753.344,132.662,245.656,285.473,1.35545,103.891,134.158,212.691,540.653,212.691
8,1.96691,11.0833,999,350,772.66,92.8571,256.068,321.788,0.784918,181.501,91.8191,298.608,444.324,328.335
9,5.58166,9.60417,999,350,917.792,151.045,180.272,266.025,2.03902,229.776,156.627,191.719,627.009,290.784
10,2,11.5763,999,350,426.684,140.201,547.611,308.971,0.881542,249.57,155.693,198.792,252.597,174.087
11,2.99037,9.99959,999,350,788.25,128.203,235.883,287.518,1.3604,310.42,136.28,322.202,440.915,347.335
12,6.77845,10.5146,999,350,926.074,173.947,80.7803,230.404,2.49548,340.413,158.416,220.535,697.684,228.39
13,6.67767,11.5196,999,350,920.734,173.021,72.9262,223.365,2.4645,315.271,167.317,231,695.074,225.66
14,5.77347,10.0813,999,350,908.728,158.351,78.2663,238.678,2.14947,292.444,151.932,273.105,647.628,261.099
