hour(h),DNI(W/m2),Tamb(°C),mdotDemand(kg/s),Tdemand(°C),mdotSF(kg/s),TSF(°C),mdotAux(kg/s),qBoiler(MWh),qAbs(W/m2),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s),mdotSFToBoiler(kg/s),mdotSFToSt(kg/s) 
0,0,10.03,0,350,0,50,0,0,0,149.85,nan,nan,nan,nan
1,0,10.1,0,350,0,50,0,0,0,149.85,nan,nan,nan,nan
2,0,10.18,0,350,0,50,0,0,0,149.85,nan,nan,nan,nan
3,0,10.26,0,350,0,50,0,0,0,149.85,nan,nan,nan,nan
4,0,10.34,45,350,0,50,3.37517,1.21506,0,0.000599399,nan,nan,nan,nan
5,0,10.41,45,350,0,50,45,16.2,0,0.000599399,nan,nan,nan,nan
6,0,10.49,50,350,0,50,50,18,0,0.000599399,nan,nan,nan,nan
7,0,10.57,70,350,0,50,70,25.2,0,0.000599399,nan,nan,nan,nan
8,143,11.85,70,350,62.4319,92.8571,7.56815,21.9892,76.2085,0.000599399,nan,nan,nan,nan
9,164.63,12.63,100,350,71.4126,92.8571,28.5874,32.3273,72.9627,0.000599399,nan,nan,nan,nan
10,59.57,13.41,100,350,9.17493,92.8571,90.8251,35.5281,20.8198,0.000599399,nan,nan,nan,nan
11,52.83,14.19,100,350,1.60196,92.8571,98.398,35.9176,14.4399,0.000599399,nan,nan,nan,nan
12,50.8,14.55,90,350,0,50,90,32.4,12.3371,0.000599399,nan,nan,nan,nan
13,87.45,14.92,80,350,0.125608,92.8571,79.8744,28.7935,23.9025,0.000599399,nan,nan,nan,nan
14,381.42,15.29,47,350,143.636,92.8571,0,44.3221,133.307,347.892,nan,nan,nan,nan
15,0,14.32,53,350,0,50,0,0,0,157.092,nan,nan,nan,nan
16,58.54,13.34,79,350,8.74965,92.8571,26.6141,12.281,31.1975,0.00110438,nan,nan,nan,nan
17,0,12.37,50,350,0,50,50,18,0,0.00110438,nan,nan,nan,nan
18,0,11.57,20,350,0,50,20,7.2,0,0.00110438,nan,nan,nan,nan
19,0,10.78,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
20,0,9.98,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
21,0,9.83001,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
22,0,9.69,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
23,0,9.54,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
24,0,8.85,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
25,0,8.14999,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
26,0,7.45999,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
27,0,7.69,0,350,0,50,0,0,0,0.00110438,nan,nan,nan,nan
28,0,7.92999,45,350,0,50,44.9997,16.1999,0,4.41759e-09,nan,nan,nan,nan
