day(d),DNI(kWh/m2/day),Tamb(°C),mdotDemand(kg/s/day),Tdemand(°C),mdotSF(kg/s/day),TSF(°C),mdotAux(kg/s/day),qBoiler(MWh/day),qAbs(kWh/m2/day),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s/day),mdotSFToBoiler(kg/s/day),mdotSFToSt(kg/s/day) 
0,0.99824,11.6933,999,350,297.133,92.8571,660.242,329.374,0.385175,46.0166,nan,nan,nan,nan
1,3.7878,10.1492,999,350,614.954,153.411,515.878,330.788,1.44574,185.931,nan,nan,nan,nan
2,6.11521,8.94458,999,350,922.698,164.637,78.1685,233.381,2.30545,334.395,nan,nan,nan,nan
3,5.04594,9.14583,999,350,844.44,146.687,149.644,259.895,1.79884,302.44,nan,nan,nan,nan
4,0.7928,11.3167,999,350,210.819,97.4769,659.399,301.268,0.313612,104.536,nan,nan,nan,nan
5,1.97192,14.2533,999,350,524.948,109.771,604.116,368.811,0.760714,222.643,nan,nan,nan,nan
6,1.09902,13.4862,999,350,271.105,111.961,597.831,292.66,0.414659,128.014,nan,nan,nan,nan
7,3.85156,13.5692,999,350,753.344,132.662,245.656,284.912,1.35545,103.891,nan,nan,nan,nan
8,1.96691,11.0833,999,350,772.66,92.8571,256.068,330.605,0.784918,181.501,nan,nan,nan,nan
9,5.58166,9.60417,999,350,917.792,151.045,180.272,284.017,2.03902,229.776,nan,nan,nan,nan
10,2,11.5763,999,350,426.684,140.201,547.611,304.561,0.881542,249.57,nan,nan,nan,nan
11,2.99037,9.99959,999,350,788.25,128.203,235.883,294.716,1.3604,310.42,nan,nan,nan,nan
12,6.77845,10.5146,999,350,926.074,173.947,80.7803,224.726,2.49548,340.413,nan,nan,nan,nan
13,6.67767,11.5196,999,350,920.734,173.021,72.9262,221.794,2.4645,315.271,nan,nan,nan,nan
14,5.77347,10.0813,999,350,908.728,158.351,78.2663,237.164,2.14947,292.444,nan,nan,nan,nan
15,3.7035,10.6271,999,350,920.007,125.13,122.345,292.303,1.52904,380.619,nan,nan,nan,nan
16,3.19666,8.7125,999,350,630.963,144.041,369.037,288.796,1.34217,363.171,nan,nan,nan,nan
17,6.04994,10.3546,999,350,962.128,159.74,45.9211,236.197,2.31063,425.426,nan,nan,nan,nan
18,5.53329,10.7712,999,350,907.051,155.113,106.873,250.601,2.08332,403.983,nan,nan,nan,nan
19,6.94578,10.0446,999,350,962.768,178.335,27.7449,208.316,2.68112,397.264,nan,nan,nan,nan
20,6.57936,10.5625,999,350,950.472,172.516,42.4415,217.711,2.53525,400.772,nan,nan,nan,nan
21,2.27226,8.50667,999,350,871.369,92.8571,57.6849,289.646,0.871485,383.927,nan,nan,nan,nan
22,0.32152,6.735,999,350,103.572,92.8571,791.896,317.042,0.156176,73.4661,nan,nan,nan,nan
23,1.57365,9.95583,999,350,463.052,92.8571,535.948,335.826,0.516133,59.4423,nan,nan,nan,nan
24,2.79367,10.3346,999,350,690.931,124.944,493.352,364.205,1.18061,236.572,nan,nan,nan,nan
25,0.87548,9.94083,999,350,187.894,106.636,625.824,280.168,0.318736,153.301,nan,nan,nan,nan
26,3.88116,10.5692,999,350,660.119,163.351,522.015,335.778,1.66662,254.86,nan,nan,nan,nan
27,4.39163,10.8771,999,350,970.523,139.84,26.8656,254.43,1.91417,405.433,nan,nan,nan,nan
28,5.54647,9.53667,999,350,977.126,155.653,28.4765,238.133,2.25361,446.591,nan,nan,nan,nan
29,5.6233,6.69959,999,350,968.796,159.448,21.876,229.402,2.32123,411.719,nan,nan,nan,nan
