day(d),DNI(kWh/m2/day),Tamb(°C),mdotDemand(kg/s/day),Tdemand(°C),mdotSF(kg/s/day),TSF(°C),mdotAux(kg/s/day),qBoiler(MWh/day),qAbs(kWh/m2/day),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s/day),mdotSFToBoiler(kg/s/day),mdotSFToSt(kg/s/day) 
0,0.99824,11.6933,999,350,666,70.4303,291.375,334.879,0.385175,24.975,223.819,41.625,666,0
1,3.7878,10.1492,999,350,719,133.372,280,287.706,1.44574,0,10.1492,0,719,0
2,6.11521,8.94458,999,350,720.689,191.178,280,238.154,2.30545,2.28058,147.775,0,719,1.68932
3,5.04594,9.14583,999,350,719,159.069,278.311,265.579,1.79884,1.01359,46.3403,1.68932,719,0
4,0.7928,11.3167,999,350,566,68.7094,433,346.933,0.313612,0,11.3167,0,566,0
5,1.97192,14.2533,999,350,719,92.4051,280,323.053,0.760714,0,14.2533,0,719,0
6,1.09902,13.4862,999,350,419,89.1549,580,339.953,0.414659,0,13.4862,0,419,0
7,3.85156,13.5692,999,350,640,144.179,359,287.311,1.35545,0,13.5692,0,640,0
8,1.96691,11.0833,999,350,719,95.9337,280,320.008,0.784918,0,11.0833,0,719,0
9,5.58166,9.60417,999,350,719,173.033,280,253.487,2.03902,0,9.60417,0,719,0
10,2,11.5763,999,350,429,133.616,570,316.595,0.881542,0,11.5763,0,429,0
11,2.99037,9.99959,999,350,529,159.138,470,290.359,1.3604,0,9.99959,0,529,0
12,6.77845,10.5146,999,350,719,203.245,280,227.42,2.49548,0,10.5146,0,719,0
13,6.67767,11.5196,999,350,719,201.239,280,229.151,2.4645,0,11.5196,0,719,0
14,5.77347,10.0813,999,350,672,190.05,327,246.703,2.14947,0,10.0813,0,672,0
15,3.7035,10.6271,999,350,769,135.612,230,280.637,1.52904,0,10.6271,0,769,0
16,3.19666,8.7125,999,350,769,123.406,230,291.901,1.34217,0,8.7125,0,769,0
17,6.04994,10.3546,999,350,769,182.602,230,237.275,2.31063,0,10.3546,0,769,0
18,5.53329,10.7712,999,350,699,182.098,300,248.836,2.08332,0,10.7712,0,699,0
19,6.94578,10.0446,999,350,769,205.305,230,216.325,2.68112,0,10.0446,0,769,0
20,6.57936,10.5625,999,350,769,196.427,230,224.517,2.53525,0,10.5625,0,769,0
21,2.27226,8.50667,999,350,769,97.8136,230,315.518,0.871485,0,8.50667,0,769,0
22,0.32152,6.735,999,350,220,74.5291,779,353.164,0.156176,0,6.735,0,220,0
23,1.57365,9.95583,999,350,719,78.9062,280,334.7,0.516133,0,9.95583,0,719,0
24,2.79367,10.3346,999,350,769,113.497,230,301.045,1.18061,0,10.3346,0,769,0
25,0.87548,9.94083,999,350,486,73.5079,513,345.93,0.318736,0,9.94083,0,486,0
26,3.88116,10.5692,999,350,699.163,153.115,300,273.186,1.66662,0.244807,25.0638,0,699,0.163205
27,4.39163,10.8771,999,350,772.073,159.461,229.837,259.34,1.91417,4.24679,200.84,0.163205,769,3.07324
28,5.54647,9.53667,999,350,769,179.622,226.927,239.913,2.25361,1.84394,106.478,3.07324,769,0
29,5.6233,6.69959,999,350,769,182.29,230,237.563,2.32123,0,6.69959,0,769,0
30,7.24308,6.2425,999,350,769,220.7,230,202.118,2.94734,0,6.2425,0,769,0
31,7.01618,6.59583,999,350,769,215.837,230,206.605,2.88412,0,6.59583,0,769,0
32,6.91837,6.6575,999,350,769,214.837,230,207.528,2.86969,0,6.6575,0,769,0
33,5.68553,7.02625,999,350,769,181.663,230,238.141,2.28053,0,7.02625,0,769,0
34,6.86045,7.87958,999,350,769,215.699,230,206.733,2.88789,0,7.87958,0,769,0
35,6.79962,8.46125,999,350,769,215.844,230,206.599,2.89451,0,8.46125,0,769,0
36,6.32163,9.54416,999,350,778.654,210.053,230,213.564,2.76947,13.0326,290.316,0,769,9.65378
37,6.90346,9.27333,999,350,769,220.858,220.346,200.1,2.98228,5.79227,233.617,9.65378,769,0
38,5.26696,11.3454,999,350,769,181.367,230,238.415,2.29779,0,11.3454,0,769,0
39,6.79211,9.42625,999,350,769,217.983,230,204.625,2.94338,0,9.42625,0,769,0
40,7.03989,10.0554,999,350,769,227.023,230,196.284,3.08698,0,10.0554,0,769,0
41,5.43458,10.57,999,350,769.824,183.586,230,236.532,2.36193,1.23575,81.6947,0,769,0.823831
42,7.11935,10.6521,999,350,769.943,232.666,229.176,191.252,3.17048,1.80831,66.9807,0.823831,769,0.942975
43,1.97011,10.2612,999,350,587,115.772,411.057,313.355,0.879392,0.565785,17.89,0.942975,587,0
44,3.81329,9.75375,999,350,769,144.84,230,272.122,1.62725,0,9.75375,0,769,0
45,0.25293,11.4787,999,350,129,91.0424,870,353.287,0.159202,0,11.4787,0,129,0
46,2.14568,10.2279,999,350,426,165.201,573,300.749,1.1985,0,10.2279,0,426,0
47,4.39682,10.5342,999,350,639,188.979,360,253.071,2.01029,0,10.5342,0,639,0
